,type,description,mean_thickness,mean_pore_size,aging,temperature,delta_pressure,gases_kinetic_diameter,gases_molar_mass,gases_polarizability,Py,in_reference_data_location,reference,url
4,polymer,PI-0.25,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,193.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
5,polymer,PI-0.50,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,133.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
6,polymer,PI-0.75,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,105.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
7,polymer,PI-1.00,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,59.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
8,polymer,IPI-0.25,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,157.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
9,polymer,IPI-0.50,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,74.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
10,polymer,IPI-0.75,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,33.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
11,polymer,IPI-1.00,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,11.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
297,polymer,untreated,90.0,,0.0,298.0,100000.0,260.0,4.0,0.208,758.0,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
298,polymer,EtOH_25 treaded,110.0,,0.0,298.0,100000.0,260.0,4.0,0.208,1706.0,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
299,polymer,EtOH_25 treaded,110.0,,1200.0,298.0,100000.0,260.0,4.0,0.208,1140.0,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
314,polymer,EtOH_100 treaded,125.4,,2117.0,298.0,100000.0,260.0,4.0,0.208,1128.0,table S1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
357,polymer,untreated,90.0,,3.998911,298.0,100000.0,260.0,4.0,0.208,779.8514,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
358,polymer,untreated,90.0,,37.73106,298.0,100000.0,260.0,4.0,0.208,826.3419,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
359,polymer,untreated,90.0,,248.9525,298.0,100000.0,260.0,4.0,0.208,983.1133,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
360,polymer,EtOH_25 treaded,110.0,,7.024282,298.0,100000.0,260.0,4.0,0.208,1494.707,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
361,polymer,EtOH_25 treaded,110.0,,62.81426,298.0,100000.0,260.0,4.0,0.208,1377.378,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
362,polymer,EtOH_25 treaded,110.0,,571.8492,298.0,100000.0,260.0,4.0,0.208,1218.425,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
363,polymer,EtOH_75 treaded,110.9054,,2.796417,298.0,100000.0,260.0,4.0,0.208,1206.038,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
364,polymer,EtOH_75 treaded,110.9054,,27.59159,298.0,100000.0,260.0,4.0,0.208,1157.736,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
365,polymer,EtOH_75 treaded,110.9054,,185.3366,298.0,100000.0,260.0,4.0,0.208,1096.329,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
366,polymer,EtOH_125 treaded,132.508,,3.998911,298.0,100000.0,260.0,4.0,0.208,921.5036,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
367,polymer,EtOH_125 treaded,132.508,,28.85321,298.0,100000.0,260.0,4.0,0.208,930.9683,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
368,polymer,EtOH_125 treaded,132.508,,187.0013,298.0,100000.0,260.0,4.0,0.208,890.644,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
669,polymer,Matrimid5218,,,0.0,308.0,500000.0,260.0,4.0,0.208,23.1,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
670,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,500000.0,260.0,4.0,0.208,27.7,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
671,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,500000.0,260.0,4.0,0.208,35.2,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
672,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,500000.0,260.0,4.0,0.208,49.7,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
673,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,500000.0,260.0,4.0,0.208,55.9,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
674,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,260.0,4.0,0.208,28.1,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
675,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,260.0,4.0,0.208,38.4,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
676,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,260.0,4.0,0.208,47.3,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
677,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,260.0,4.0,0.208,51.8,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
678,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,260.0,4.0,0.208,55.1,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
689,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,318.0,500000.0,260.0,4.0,0.208,54.2274052478136,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
690,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,328.0,500000.0,260.0,4.0,0.208,58.1632653061227,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
691,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,338.0,500000.0,260.0,4.0,0.208,66.0349854227409,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
695,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,318.0,500000.0,260.0,4.0,0.208,52.4553571428571,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
696,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,328.0,500000.0,260.0,4.0,0.208,55.0595238095237,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
697,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,338.0,500000.0,260.0,4.0,0.208,58.0357142857143,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
701,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,100000.0,260.0,4.0,0.208,59.8240469208211,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
702,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,200000.0,260.0,4.0,0.208,58.9442815249266,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
703,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,300000.0,260.0,4.0,0.208,58.0645161290322,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
704,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,400000.0,260.0,4.0,0.208,52.7859237536656,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
709,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,100000.0,260.0,4.0,0.208,59.9850968703428,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
710,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,200000.0,260.0,4.0,0.208,60.7302533532042,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
711,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,300000.0,260.0,4.0,0.208,57.3770491803279,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
712,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,400000.0,260.0,4.0,0.208,52.9061102831595,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
903,zeolite,unmodified MFI-type,7.0,0.58,0.0,773.0,200000.0,260.0,4.0,0.208,2678.47449640663,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
904,zeolite,unmodified MFI-type,7.0,0.58,0.0,673.0,200000.0,260.0,4.0,0.208,2958.42687540929,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
905,zeolite,unmodified MFI-type,7.0,0.58,0.0,573.0,200000.0,260.0,4.0,0.208,3067.08099831948,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
906,zeolite,unmodified MFI-type,7.0,0.58,0.0,473.0,200000.0,260.0,4.0,0.208,3177.98369032813,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
907,zeolite,unmodified MFI-type,7.0,0.58,0.0,373.0,200000.0,260.0,4.0,0.208,3238.08475332279,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
908,zeolite,unmodified MFI-type,7.0,0.58,0.0,298.0,200000.0,260.0,4.0,0.208,3646.06794031446,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
936,zeolite,counter-diffusion modified,7.0,0.58,0.0,773.0,200000.0,260.0,4.0,0.208,2104.41033038124,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
937,zeolite,counter-diffusion modified,7.0,0.58,0.0,673.0,200000.0,260.0,4.0,0.208,2181.7059768265,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
938,zeolite,counter-diffusion modified,7.0,0.58,0.0,573.0,200000.0,260.0,4.0,0.208,2401.99267303767,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
939,zeolite,counter-diffusion modified,7.0,0.58,0.0,473.0,200000.0,260.0,4.0,0.208,2842.35767752037,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
940,zeolite,counter-diffusion modified,7.0,0.58,0.0,373.0,200000.0,260.0,4.0,0.208,3167.20458137244,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
941,zeolite,counter-diffusion modified,7.0,0.58,0.0,323.0,200000.0,260.0,4.0,0.208,3323.25636644305,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
957,zeolite,one-side modified,7.0,0.58,0.0,773.0,200000.0,260.0,4.0,0.208,1153.40777235958,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
958,zeolite,one-side modified,7.0,0.58,0.0,673.0,200000.0,260.0,4.0,0.208,1078.23786959631,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
959,zeolite,one-side modified,7.0,0.58,0.0,573.0,200000.0,260.0,4.0,0.208,974.567988158288,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
960,zeolite,one-side modified,7.0,0.58,0.0,473.0,200000.0,260.0,4.0,0.208,832.75923774264,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
961,zeolite,one-side modified,7.0,0.58,0.0,373.0,200000.0,260.0,4.0,0.208,650.43272825438,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
962,zeolite,one-side modified,7.0,0.58,0.0,323.0,200000.0,260.0,4.0,0.208,562.066564976668,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
12,polymer,PI-0.25,50.0,,0.0,308.0,199000.0,289.0,2.02,0.787,238.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
13,polymer,PI-0.50,50.0,,0.0,308.0,199000.0,289.0,2.02,0.787,159.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
14,polymer,PI-0.75,50.0,,0.0,308.0,199000.0,289.0,2.02,0.787,117.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
15,polymer,PI-1.00,50.0,,0.0,308.0,199000.0,289.0,2.02,0.787,55.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
16,polymer,IPI-0.25,50.0,,0.0,308.0,199000.0,289.0,2.02,0.787,201.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
17,polymer,IPI-0.50,50.0,,0.0,308.0,199000.0,289.0,2.02,0.787,78.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
18,polymer,IPI-0.75,50.0,,0.0,308.0,199000.0,289.0,2.02,0.787,30.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
19,polymer,IPI-1.00,50.0,,0.0,308.0,199000.0,289.0,2.02,0.787,8.4,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
294,polymer,untreated,90.0,,0.0,298.0,100000.0,289.0,2.02,0.787,1740.0,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
295,polymer,EtOH_25 treaded,110.0,,0.0,298.0,100000.0,289.0,2.02,0.787,4500.0,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
296,polymer,EtOH_25 treaded,110.0,,1200.0,298.0,100000.0,289.0,2.02,0.787,2440.0,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
313,polymer,EtOH_100 treaded,125.4,,2117.0,298.0,100000.0,289.0,2.02,0.787,2418.0,table S1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
345,polymer,untreated,90.0,,4.006265,298.0,100000.0,289.0,2.02,0.787,1794.516,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
346,polymer,untreated,90.0,,118.6763,298.0,100000.0,289.0,2.02,0.787,2088.031,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
347,polymer,untreated,90.0,,248.4868,298.0,100000.0,289.0,2.02,0.787,2171.911,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
348,polymer,EtOH_25 treaded,110.0,,7.004888,298.0,100000.0,289.0,2.02,0.787,3792.69,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
349,polymer,EtOH_25 treaded,110.0,,63.15262,298.0,100000.0,289.0,2.02,0.787,3269.442,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
350,polymer,EtOH_25 treaded,110.0,,346.8306,298.0,100000.0,289.0,2.02,0.787,2612.795,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
351,polymer,EtOH_75 treaded,110.9054,,2.793727,298.0,100000.0,289.0,2.02,0.787,2967.348,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
352,polymer,EtOH_75 treaded,110.9054,,27.56215,298.0,100000.0,289.0,2.02,0.787,2726.003,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
353,polymer,EtOH_75 treaded,110.9054,,186.2339,298.0,100000.0,289.0,2.02,0.787,2436.925,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
354,polymer,EtOH_125 treaded,132.508,,4.006265,298.0,100000.0,289.0,2.02,0.787,2211.754,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
355,polymer,EtOH_125 treaded,132.508,,29.09353,298.0,100000.0,289.0,2.02,0.787,2171.911,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
356,polymer,EtOH_125 treaded,132.508,,189.621,298.0,100000.0,289.0,2.02,0.787,2038.03,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
726,MMM,SAPO-34/PEI,1.0,,0.0,303.0,100000.0,289.0,2.02,0.787,3.27067284536041,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
756,MMM,HOF-30/matrimid5218,15.0,0.394,0.0,298.0,100000.0,289.0,2.02,0.787,432.8,table S3,LI W et al 2022,https://doi.org/10.1016/j.memsci.2021.120021
799,zeolite,SSZ-13 ,3.0,0.372,0.0,303.0,100000.0,289.0,2.02,0.787,3508.3151687789,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
800,zeolite,SSZ-13 ,3.0,0.372,0.0,323.0,100000.0,289.0,2.02,0.787,3527.87833816727,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
801,zeolite,SSZ-13 ,3.0,0.372,0.0,353.0,100000.0,289.0,2.02,0.787,3729.61186258627,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
811,zeolite,SSZ-13 ,3.0,0.372,0.0,303.0,500000.0,289.0,2.02,0.787,3040.04154100789,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
812,zeolite,SSZ-13 ,3.0,0.372,0.0,323.0,500000.0,289.0,2.02,0.787,3143.18205627139,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
813,zeolite,SSZ-13 ,3.0,0.372,0.0,353.0,500000.0,289.0,2.02,0.787,3213.87925404572,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
814,zeolite,SSZ-13 ,3.0,0.372,0.0,303.0,300000.0,289.0,2.02,0.787,3015.95175359501,fig 8,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
821,zeolite,SSZ-13 ,3.0,0.372,0.0,303.0,200000.0,289.0,2.02,0.787,3007.04840971593,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
822,zeolite,SSZ-13 ,3.0,0.372,0.0,303.0,400000.0,289.0,2.02,0.787,3103.05667542417,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
823,zeolite,SSZ-13 ,3.0,0.372,0.0,303.0,600000.0,289.0,2.02,0.787,3469.92825022807,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
842,zeolite,M1,0.9,,0.0,298.0,100000.0,289.0,2.02,0.787,365.76558216,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
843,zeolite,GO size of 20-30,0.9,,0.0,298.0,100000.0,289.0,2.02,0.787,642.77922159,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
844,zeolite,GO size of 3-5,0.8,,0.0,298.0,100000.0,289.0,2.02,0.787,1030.35925432,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
848,zeolite,M3,0.9,,0.0,298.0,100000.0,289.0,2.02,0.787,4303.124496,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
849,zeolite,M4,0.5,,0.0,298.0,100000.0,289.0,2.02,0.787,1225.195169,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
850,zeolite,M5,0.9,,0.0,298.0,100000.0,289.0,2.02,0.787,1965.99000411,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
854,zeolite,ZnEG Content X=40,0.7,,0.0,298.0,100000.0,289.0,2.02,0.787,1347.09030424156, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
855,zeolite,ZnEG Content X=80,0.8,,0.0,298.0,100000.0,289.0,2.02,0.787,583.314027332928, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
856,zeolite,ZnEG Content X=100,0.9,,0.0,298.0,100000.0,289.0,2.02,0.787,612.379359844075, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
857,zeolite,ZnEG Content X=150,2.0,,0.0,298.0,100000.0,289.0,2.02,0.787,1152.42531139912, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
862,zeolite,reaction time = 0h,0.9,,0.0,298.0,100000.0,289.0,2.02,0.787,1684.70179542601, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
863,zeolite,reaction time = 2h,0.9,,0.0,298.0,100000.0,289.0,2.02,0.787,903.119662192159, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
864,zeolite,reaction time = 4h,0.9,,0.0,298.0,100000.0,289.0,2.02,0.787,681.921211882415, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
865,zeolite,reaction time = 12h,0.9,,0.0,298.0,100000.0,289.0,2.02,0.787,717.145940900762, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
870,zeolite,filtration time = 3s,0.5,,0.0,298.0,100000.0,289.0,2.02,0.787,260.364490829804, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
871,zeolite,filtration time = 10s,1.5,,0.0,298.0,100000.0,289.0,2.02,0.787,253.394380309016, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
872,zeolite,filtration time = 15s,2.0,,0.0,298.0,100000.0,289.0,2.02,0.787,214.476667092492, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
873,zeolite,filtration time = 20s,2.5,,0.0,298.0,100000.0,289.0,2.02,0.787,526.49060523011, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
912,zeolite,unmodified MFI-type,7.0,0.58,0.0,773.0,200000.0,289.0,2.02,0.787,2623.54822362934,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
913,zeolite,unmodified MFI-type,7.0,0.58,0.0,673.0,200000.0,289.0,2.02,0.787,2875.02331781974,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
914,zeolite,unmodified MFI-type,7.0,0.58,0.0,573.0,200000.0,289.0,2.02,0.787,3214.64764750309,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
915,zeolite,unmodified MFI-type,7.0,0.58,0.0,473.0,200000.0,289.0,2.02,0.787,3676.94745972611,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
916,zeolite,unmodified MFI-type,7.0,0.58,0.0,373.0,200000.0,289.0,2.02,0.787,4642.91205954108,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
917,zeolite,unmodified MFI-type,7.0,0.58,0.0,298.0,200000.0,289.0,2.02,0.787,5070.41270681934,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
930,zeolite,counter-diffusion modified,7.0,0.58,0.0,773.0,200000.0,289.0,2.02,0.787,2686.03830385576,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
931,zeolite,counter-diffusion modified,7.0,0.58,0.0,673.0,200000.0,289.0,2.02,0.787,2943.1132252052,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
932,zeolite,counter-diffusion modified,7.0,0.58,0.0,573.0,200000.0,289.0,2.02,0.787,3096.35657429833,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
933,zeolite,counter-diffusion modified,7.0,0.58,0.0,473.0,200000.0,289.0,2.02,0.787,3578.63117460869,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
934,zeolite,counter-diffusion modified,7.0,0.58,0.0,373.0,200000.0,289.0,2.02,0.787,4210.38371369875,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
935,zeolite,counter-diffusion modified,7.0,0.58,0.0,323.0,200000.0,289.0,2.02,0.787,4503.73973862389,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
951,zeolite,one-side modified,7.0,0.58,0.0,773.0,200000.0,289.0,2.02,0.787,848.173433034467,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
952,zeolite,one-side modified,7.0,0.58,0.0,673.0,200000.0,289.0,2.02,0.787,751.533506072439,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
953,zeolite,one-side modified,7.0,0.58,0.0,573.0,200000.0,289.0,2.02,0.787,646.431342423989,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
954,zeolite,one-side modified,7.0,0.58,0.0,473.0,200000.0,289.0,2.02,0.787,527.456475398785,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
955,zeolite,one-side modified,7.0,0.58,0.0,373.0,200000.0,289.0,2.02,0.787,375.77003004585,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
956,zeolite,one-side modified,7.0,0.58,0.0,323.0,200000.0,289.0,2.02,0.787,305.445972703393,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
20,polymer,PI-0.25,50.0,,0.0,308.0,199000.0,330.0,44.01,2.507,191.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
21,polymer,PI-0.50,50.0,,0.0,308.0,199000.0,330.0,44.01,2.507,121.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
22,polymer,PI-0.75,50.0,,0.0,308.0,199000.0,330.0,44.01,2.507,66.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
23,polymer,PI-1.00,50.0,,0.0,308.0,199000.0,330.0,44.01,2.507,25.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
24,polymer,IPI-0.25,50.0,,0.0,308.0,199000.0,330.0,44.01,2.507,178.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
25,polymer,IPI-0.50,50.0,,0.0,308.0,199000.0,330.0,44.01,2.507,44.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
26,polymer,IPI-0.75,50.0,,0.0,308.0,199000.0,330.0,44.01,2.507,13.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
27,polymer,IPI-1.00,50.0,,0.0,308.0,199000.0,330.0,44.01,2.507,2.2,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
178,polymer,Neat PIM-1,74.2,,620.0,293.0,20000.0,330.0,44.01,2.507,2688.0,table 1,AMEEN AW et al 2021,https://doi.org/10.1016/j.memsci.2021.119527
